Tahun,Bulan,Data Aktual,Data Prediksi,Selisih (Error),Persentase Error (%)
2024,1,49,42.686834647765366,6.313165352234634,12.884010922927825
2024,2,40,41.04966410356883,1.0496641035688299,2.6241602589220747
2024,3,34,35.05634662914153,1.0563466291415295,3.1069018504162633
2024,4,36,34.38851847411658,1.6114815258834199,4.476337571898389
2024,5,47,38.187923085943964,8.812076914056036,18.749099817140504
2024,6,52,45.984180392921026,6.015819607078974,11.568883859767258
2024,7,49,50.1644936110773,1.1644936110772974,2.3765175736271376
2024,8,47,47.084051415092475,0.08405141509247471,0.17883279806909513
2024,9,44,41.94543002127258,2.0545699787274216,4.669477224380503
2024,10,56,45.8858359842896,10.1141640157104,18.06100717091143
2024,11,54,56.85988024364409,2.859880243644092,5.296074525266837
2024,12,37,52.378663627391404,15.378663627391404,41.5639557497065
